acl 2.3.1-2
acpi 1.7-3
acpid 2.0.34-1
acpilight 1.2-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-cursors 43-2
adwaita-icon-theme 43-2
alsa-lib 1.2.8-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.8-1
alsa-utils 1.2.8-1
anthy 9100h-6
aom 3.5.0-1
arandr 0.1.10-7
archlinux-keyring 20221220-1
argon2 20190702-4
at-spi2-core 2.46.0-2
atkmm 2.28.3-1
attr 2.5.1-2
audacity 1:3.2.3-1
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
babl 0.1.98-1
base 3-1
bash 5.1.016-1
bash-completion 2.11-3
bat 0.22.1-1
binutils 2.39-4
bison 3.8.2-4
blas 3.11.0-1
bluez 5.66-1
bluez-libs 5.66-1
bluez-utils 5.66-1
boost-libs 1.80.0-3
botan 2.19.3-1
box2d 2.4.1-1
brotli 1.0.9-9
btrfs-progs 6.1.2-1
bubblewrap 0.7.0-1
bzip2 1.0.8-5
c-ares 1.18.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.87-1
ca-certificates-utils 20220905-1
cairo 1.17.6-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
cdparanoia 10.2-8
cfitsio 1:4.2.0-1
chromium 108.0.5359.124-1
clucene 2.3.3.4-13
cmus 2.10.0-3
code 1.74.2-1
copyq 6.3.2-1
coreutils 9.1-3
cracklib 2.9.8-1
cryptsetup 2.6.0-1
curl 7.87.0-3
curtail 1.3.1-1
dav1d 1.0.0-1
db 6.2.32-1
db5.3 5.3.28-2
dbus 1.14.4-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-2
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.18-1
dhcpcd 9.4.1-1
diffutils 3.8-1
discord 0.0.22-1
dmraid 1.0.0.rc16.3-14
dnssec-anchors 20190629-3
dosfstools 4.2-2
double-conversion 3.2.1-1
duktape 2.7.0-5
dunst 1.9.0-1
e2fsprogs 1.46.5-4
efibootmgr 18-1
efivar 38-2
electron 22.0.0-2
electron18 18.3.15-4
electron19 19.1.9-3
electron21 21.3.4-1
elinks 0.16.0-1
ell 0.55-1
enchant 2.3.3-2
exfatprogs 1.2.0-1
exiv2 0.27.5-3
exo 4.18.0-1
expat 2.5.0-1
f2fs-tools 1.15.0-2
faad2 2.10.1-1
fakeroot 1.30.1-1
fcitx5 5.0.21-1
fcitx5-anthy 5.0.13-1
fcitx5-chewing 5.0.13-1
fcitx5-chinese-addons 5.0.16-1
fcitx5-configtool 5.0.16-1
fcitx5-gtk 5.0.21-1
fcitx5-lua 5.0.10-1
fcitx5-mozc 2.26.4632.102.g4d2e3bd-2
fcitx5-qt 5.0.16-1
feh 3.9.1-2
ffmpeg 2:5.1.2-1
ffmpeg4.4 4.4.2-3
ffmpegthumbnailer 2.2.2-4
fftw 3.3.10-3
file 5.44-1
filesystem 2022.10.18-1
findutils 4.9.0-1
firefox 108.0.2-1
flac 1.4.2-1
flameshot 12.1.0-1
flex 2.6.4-3
fmt 9.1.0-3
font-manager 0.8.8-1
fontconfig 2:2.14.1-2
fontforge 20230101-2
freeglut 3.4.0-1
freetype2 2.12.1-1
fribidi 1.0.12-1
fuse-common 3.12.0-1
fuse2 2.9.9-4
fuse3 3.12.0-1
gawk 5.2.1-1
gc 8.2.2-1
gcc 12.2.0-1
gcc-libs 12.2.0-1
gcr 3.41.1-3
gcr-4 4.0.0-1
gd 2.3.3-6
gdbm 1.23-1
gdk-pixbuf2 2.42.10-2
gegl 0.4.40-4
gettext 0.21.1-2
ghostscript 10.0.0-4
giflib 5.2.1-2
gimp 2.10.32-3
girara 0.3.7-1
git 2.39.0-1
gitui 0.22.1-1
glib-networking 1:2.74.0-1
glib2 2.74.4-1
glibc 2.36-6
glibmm 2.66.5-1
glslang 11.13.0-2
glu 9.0.2-3
gmp 6.2.1-2
gnome-keyring 1:42.1-2
gnupg 2.2.40-1
gnustep-base 1.28.0-5
gnutls 3.7.8-4
gobject-introspection-runtime 1.74.0-1
gpart 0.3-4
gparted 1.4.0-1
gpgme 1.18.0-1
gpm 1.20.7.r38.ge82d1a6-4
gpodder 3.11.0-1
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-2
graphviz 7.0.6-1
grep 3.8-2
groff 1.22.4-7
grub 2:2.06.r403.g7259d55ff-1
gsettings-desktop-schemas 43.0-1
gsfonts 20200910-2
gsm 1.0.22-1
gst-plugins-base 1.20.5-5
gst-plugins-base-libs 1.20.5-5
gstreamer 1.20.5-5
gtk-update-icon-cache 1:4.8.3-3
gtk2 2.24.33-2
gtk3 1:3.24.36-1
gtkmm3 3.24.7-1
gts 0.7.6.121130-2
guile 3.0.8-3
gumbo-parser 0.10.1-2
gvfs 1.50.3-1
gvim 9.0.1046-1
gzip 1.12-1
harfbuzz 6.0.0-1
harfbuzz-icu 6.0.0-1
hdparm 9.65-1
hicolor-icon-theme 0.17-2
hidapi 0.13.0-1
htop 3.2.1-1
http-parser 2.9.4-1
hunspell 1.7.2-1
hwdata 0.366-1
hwloc 2.8.0-1
hyphen 2.8.8-5
iana-etc 20221215-1
icu 72.1-2
ijs 0.35-5
imagemagick 7.1.0.57-2
imath 3.1.6-1
imlib2 1.10.0-2
iniparser 4.1-4
intel-gmmlib 22.3.2-1
intel-gpu-tools 1.26-1
intel-media-driver 22.6.4-1
intel-ucode 20221108-1
iproute2 6.1.0-3
iptables 1:1.8.8-2
iputils 20221126-1
iso-codes 4.12.0-1
iw 5.19-1
iwd 2.1-1
jack2 1.9.21-3
jansson 2.14-2
jasper 4.0.0-1
jbig2dec 0.19-1
jpegoptim 1.5.1-1
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
kbd 2.5.1-1
kconfig 5.101.0-1
kcoreaddons 5.101.0-1
keyutils 1.6.3-1
kguiaddons 5.101.0-1
kitemviews 5.101.0-1
kmod 30-3
knotifications 5.101.0-1
krb5 1.20.1-1
kwidgetsaddons 5.101.0-1
kwindowsystem 5.101.0-1
l-smash 2.14.5-2
lame 3.100-4
lapack 3.11.0-1
lcms2 2.14-2
ldns 1.8.3-2
lensfun 1:0.3.3-1
less 1:608-1
libabw 0.1.3-3
libaio 0.3.113-1
libao 1.2.2-5
libarchive 3.6.2-2
libass 0.17.0-1
libassuan 2.5.5-1
libasyncns 1:0.8+r3+g68cd5af-2
libatasmart 0.19-5
libatomic_ops 7.6.14-1
libavc1394 0.5.4-4
libavif 0.11.1-1
libblockdev 2.28-1
libbluray 1.3.4-1
libbpf 1.0.1-1
libbs2b 3.1.0-8
libbytesize 2.7-1
libcamera 0.0.3-3
libcanberra 1:0.30+r2+gc0620e4-2
libcap 2.66-1
libcap-ng 0.8.3-1
libcddb 1.3.2-7
libcdio 2.1.0-3
libcdio-paranoia 10.2+2.0.1-2
libcdr 0.1.7-5
libcgif 0.3.0-1
libchewing 0.5.1-4
libcloudproviders 0.3.1+r8+g3a229ee-1
libcmis 0.5.2-12
libcolord 1.4.6-1
libcups 1:2.4.2-3
libdaemon 0.14-5
libdatrie 0.2.13-2
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libde265 1.0.9-1
libdiscid 0.6.2-4
libdrm 2.4.114-1
libdvdnav 6.1.1-1
libdvdread 6.1.3-1
libe-book 0.1.3-13
libedit 20210910_3.1-2
libelf 0.188-1
libepoxy 1.5.10-1
libepubgen 0.1.1-4
libetonyek 0.1.10-3
libevdev 1.13.0-1
libevent 2.1.12-4
libexif 0.6.24-1
libexttextcat 3.4.6-1
libffi 3.4.4-1
libfontenc 1.1.7-1
libfreehand 0.1.2-4
libgcrypt 1.10.1-2
libgexiv2 0.14.0-3
libgit2 1:1.5.0-2
libglvnd 1.6.0-1
libgpg-error 1.46-2
libgsf 1.14.50-1
libgtop 2.40.0+2+g31db82ef-2
libgudev 237-2
libhandy 1.8.0-1
libheif 1.14.2-1
libical 3.0.16-4
libice 1.1.1-1
libid3tag 0.15.1b-11
libidn 1.41-1
libidn2 2.3.4-3
libiec61883 1.2.0-7
libimagequant 4.0.4-1
libime 1.0.16-1
libimobiledevice 1.3.0-5
libinih 56-1
libinput 1.22.0-1
libisl 0.25-1
libixion 0.17.0-3
libjpeg-turbo 2.1.4-2
libksba 1.6.3-1
liblangtag 0.6.4-1
libldap 2.6.3-2
liblqr 0.4.2-3
liblzf 3.6-3
libmad 0.15.1b-9
libmanette 0.2.6-3
libmfx 22.6.4-1
libmm-glib 1.20.4-1
libmng 2.0.3-3
libmnl 1.0.5-1
libmodplug 0.8.9.0-5
libmpc 1.3.1-1
libmpcdec 1:0.1+r475-3
libmspack 1:0.10.1alpha-4
libmspub 0.1.4-13
libmwaw 0.3.21-3
libmypaint 1.6.1-1
libndp 1.8-1
libnetfilter_conntrack 1.0.9-1
libnewt 0.52.23-1
libnfnetlink 1.0.2-1
libnftnl 1.2.4-1
libnghttp2 1.51.0-1
libnl 3.7.0-1
libnm 1.40.8-2
libnotify 0.8.1-1
libnsl 2.0.0-2
libnumbertext 1.0.11-1
libodfgen 0.1.8-2
libogg 1.3.5-1
libomxil-bellagio 0.9.3-4
liborcus 0.17.2-3
libp11-kit 0.24.1-1
libpagemaker 0.0.4-3
libpaper 1.1.28-2
libpcap 1.10.2-1
libpciaccess 0.17-1
libpgm 5.3.128-2
libpipeline 1.5.7-1
libplacebo 5.229.1-2
libplist 2.2.0-5
libpng 1.6.39-1
libproxy 0.4.18-2
libpsl 0.21.2-1
libptytty 2.0-4
libpulse 16.1-3
libpwquality 1.4.5-1
libqxp 0.0.2-9
libraqm 0.9.0-1
libraw 0.21.1-1
libraw1394 2.1.2-3
libreoffice-still 7.3.7-2
libreoffice-still-zh-tw 7.3.7-1
librevenge 0.0.5-2
librsvg 2:2.55.1-1
libsamplerate 0.2.2-1
libsasl 2.1.28-3
libsbsms 2.3.0-3
libseccomp 2.5.4-1
libsecret 0.20.5-2
libsigc++ 2.12.0-1
libsm 1.2.4-1
libsndfile 1.2.0-1
libsodium 1.0.18-2
libsoup 2.74.3-1
libsoup3 3.2.2-1
libsoxr 0.1.3-3
libspiro 1:20221101-1
libssh 0.10.4-3
libssh2 1.10.0-3
libstaroffice 0.0.7-2
libstemmer 2.2.0-2
libsynctex 2022.62885-3
libsysprof-capture 3.46.0-1
libtasn1 4.19.0-1
libteam 1.31-7
libthai 0.1.29-2
libtheora 1.1.1-5
libtiff 4.5.0-1
libtirpc 1.3.3-2
libtommath 1.2.0-3
libtool 2.4.7-5
libtpms 0.9.5-2
libuninameslist 20221022-1
libunistring 1.1-2
libunwind 1.6.2-2
liburcu 0.13.2-1
libusb 1.0.26-1
libusbmuxd 2.0.2-1
libutempter 1.2.1-3
libva 2.17.0-1
libva-intel-driver 2.4.1-2
libva-utils 2.17.0-1
libvdpau 1.5-1
libverto 0.3.2-4
libvips 8.13.2-2
libvisio 0.1.7-8
libvisual 0.4.0-8
