2022/08/15(Mon) 20:20:51
    charge-cycles:       65
    capacity:            83.0806%
2022/08/16(Tue) 22:09:51
    charge-cycles:       65
    capacity:            83.0806%
2022/08/18(Thu) 01:55:04
    charge-cycles:       65
    capacity:            83.0806%
2022/08/18(Thu) 22:03:55
    charge-cycles:       65
    capacity:            83.0806%
2022/08/28(Sun) 00:40:22
    charge-cycles:       65
    capacity:            83.0806%
2022/09/01(Thu) 00:23:16
    charge-cycles:       65
    capacity:            83.0806%
2022/09/18(Sun) 19:32:59
    charge-cycles:       91
    capacity:            83.0806%
2022/09/20(Tue) 16:11:11
    charge-cycles:       91
    capacity:            83.0806%
2022/09/21(Wed) 21:43:44
    charge-cycles:       93
    capacity:            83.0806%
2022/09/23(Fri) 20:21:03
    charge-cycles:       93
    capacity:            83.0806%
2022/09/27(Tue) 22:56:44
    charge-cycles:       93
    capacity:            83.0806%
2022/09/29(Thu) 21:59:42
    charge-cycles:       93
    capacity:            83.0806%
2022/10/01(Sat) 19:38:19
    charge-cycles:       93
    capacity:            83.0806%
2022/10/03(Mon) 22:46:10
    charge-cycles:       93
    capacity:            83.0806%
2022/10/07(Fri) 21:52:33
    charge-cycles:       93
    capacity:            83.0806%
2022/10/10(Mon) 22:46:59
    charge-cycles:       93
    capacity:            83.0806%
2022/10/14(Fri) 10:26:32
    charge-cycles:       93
    capacity:            83.0806%
2022/10/15(Sat) 22:44:58
    charge-cycles:       93
    capacity:            83.0806%
2022/10/21(Fri) 14:34:00
    charge-cycles:       93
    capacity:            83.0806%
2022/10/24(Mon) 21:28:56
    charge-cycles:       93
    capacity:            83.0806%
2022/10/29(Sat) 15:27:04
    charge-cycles:       93
    capacity:            83.0806%
2022/11/01(Tue) 16:25:34
    charge-cycles:       93
    capacity:            83.0806%
2022/11/01(Tue) 21:02:14
    charge-cycles:       93
    capacity:            83.0806%
2022/11/14(Mon) 21:24:34
    charge-cycles:       93
    capacity:            83.0806%
2022/11/18(Fri) 11:46:03
    charge-cycles:       93
    capacity:            83.0806%
2022/11/20(Sun) 21:23:42
    charge-cycles:       93
    capacity:            83.0806%
